coffee_shop,is_closed,review_count,rating,transactions,price,address,display_phone,zip,locality,opa_owner,licensetype,lat,lng
RIM CAFE,False,282.0,4.5,"['delivery', 'pickup']",$$,,(215) 465-3515,,,,,,
GRINDCORE HOUSE,False,332.0,4.5,['delivery'],$,4134 CHESTER AVE,(215) 839-3333,19104-4508,,4134 CHESTER LP,Food Preparing and Serving,39.94821882296984,-75.20688514774461
KNOCKBOX CAFE,False,111.0,4.0,['delivery'],$,4430 PINE ST,(215) 298-9012,19104-3922,,DREXEL PROPERTY ASSOCIATE,Food Preparing and Serving,39.95156624648949,-75.2123056459062
LA COLOMBE COFFEE,False,147.0,4.0,['delivery'],$,,(267) 479-1650,,,,,,
LA COLOMBE COFFEE,False,593.0,4.0,['delivery'],$,,(215) 563-0860,,,,,,
LA COLOMBE COFFEE,False,359.0,4.0,[],$$,,(215) 977-7770,,,,,,
LA COLOMBE COFFEE,False,498.0,4.5,['delivery'],$$,,(267) 479-1600,,,,,,
HELLO DONUTS + COFFEE,False,38.0,4.5,[],$,,(215) 595-2557,,,,,,
ULTIMO COFFEE BAR,False,50.0,4.0,[],$$,,(215) 339-5177,,,,,,
PASSERO'S COFFEE ROASTERS,False,50.0,4.5,[],$,,(267) 318-7074,,,,,,
PASSERO'S COFFEE ROASTERS,False,90.0,4.0,['delivery'],$,,(215) 496-9650,,,,,,
CALLOWHILL GREENS,False,12.0,4.5,[],,1800 CALLOWHILL ST,(610) 615-8605,19130-4110,,1800 CALLOWHILL ST LLC,Food Preparing and Serving,39.960216690594905,-75.16861148523994
A LA MOUSSE,False,47.0,5.0,"['delivery', 'pickup']",,,(215) 546-3888,,,,,,
A LA MOUSSE,False,634.0,4.5,"['delivery', 'pickup']",$$,,(215) 238-9100,,,,,,
UNITED BY BLUE,False,95.0,4.0,['delivery'],$$,,(215) 222-1617,,,,,,
UNITED BY BLUE,False,126.0,4.5,"['delivery', 'pickup']",$$,,(267) 457-3114,,,,,,
CAFE CLOVER,False,76.0,4.5,['delivery'],$$,,(215) 635-3071,,,,,,
OLD CITY COFFEE,False,202.0,3.5,['delivery'],$,,(215) 592-1897,,,,,,
OLD CITY COFFEE,False,238.0,4.0,['delivery'],$,,(215) 629-9292,,,,,,
VINEYARDS CAFE,False,186.0,4.5,['delivery'],$,,(215) 232-3000,,,,Food Preparing and Serving,,
POPPY'S CAFE,False,16.0,4.5,['delivery'],$$,,(215) 242-4252,,,,,,
FRIEDA,False,163.0,4.5,['delivery'],$$,,(215) 600-1291,,,,,,
GREAT AWAKENINGS CAFE,False,24.0,4.5,"['delivery', 'pickup']",$,,(215) 941-8807,,,,,,
REANIMATOR COFFEE,False,77.0,4.5,['delivery'],$$,4701 PINE ST,(267) 758-6264,19143-1809,,POST 4701 PINE STREET LP,Food Preparing and Serving,39.95281824406528,-75.21704489405293
REANIMATOR COFFEE,False,106.0,4.0,['delivery'],$,4701 PINE ST,(215) 425-5805,19143-1809,,POST 4701 PINE STREET LP,Food Preparing and Serving,39.95281824406528,-75.21704489405293
BOWER CAFE,False,40.0,4.5,['delivery'],,,(267) 758-5536,,,,,,
GROUND UP COFFEE SHOP,False,15.0,4.5,"['delivery', 'pickup']",,,(267) 773-7109,,,,,,
RIVER WARDS CAFE,False,50.0,5.0,['delivery'],$,3118 RICHMOND ST,(215) 423-3118,19134-5809,,3044 RICHMOND STREET LLC,Food Preparing and Serving,39.98222590860919,-75.10340053898115
JIGGY COFFEE,False,11.0,5.0,[],,1000 PINE ST,(215) 995-3252,19107-6007,,LEE YUNG,Food Preparing and Serving,39.94460339092465,-75.15836504515306
MENAGERIE COFFEE AT THE BOURSE,False,14.0,4.5,[],,,(510) 835-8000,,,,,,
KOUPA ESPRESSO BAR,False,16.0,5.0,['delivery'],,,(856) 298-1553,,,,,,
CAFE WALNUT,False,118.0,4.5,['delivery'],$,,(215) 964-9044,,,,,,
ALMAZ CAFE,False,368.0,4.0,['delivery'],$$,,(215) 557-0108,,,,,,
WHITE HORSE COFFEE & CREAMERY,False,59.0,4.5,['delivery'],$$,,(215) 543-6868,,,,,,
THE COFFEE BAR,False,17.0,4.5,[],,,(484) 393-5494,,,,,,
SURAYA,False,994.0,4.5,['delivery'],$$,1526 FRANKFORD AVE,(215) 302-1900,19125-4412,,1526-36 FRANKFORD AVE LP,Food Preparing and Serving (30+ SEATS),39.97370502067691,-75.13395009672584
WOODSTOWN BAKERY & COFFEE SHOP,False,3.0,4.5,[],,,(856) 823-5275,,,,,,
FOUNDED COFFEE & PIZZA,False,97.0,4.0,"['delivery', 'pickup']",$,,(267) 900-5338,,,,,,
CAPRICCIO CAFE AND BAR,False,117.0,3.5,"['delivery', 'pickup']",$,,(215) 735-9797,,,,,,
BLOOMSDAY CAFE,False,57.0,4.5,['delivery'],$$,,(267) 319-8018,,,,,,
VAULT + VINE,False,109.0,4.5,[],$$,3507 MIDVALE AVE,(267) 331-6292,19129-1633,,BEACON HILL LP,"Food Establishment, Retail Permanent Location",40.01364980084347,-75.19265947061912
CHAPTERHOUSE CAFÉ & GALLERY,False,461.0,4.5,['delivery'],$,,(215) 238-2626,,,,,,
LUCKY GOAT COFFEEHOUSE,False,133.0,4.5,['delivery'],$,,(215) 978-4628,,,,,,
VOLO COFFEEHOUSE,False,242.0,4.5,"['delivery', 'pickup']",$,,(215) 483-4580,,,,,,
UNCLE BOBBIE'S COFFEE & BOOKS,False,143.0,4.5,['delivery'],$$,,(215) 403-7058,,,,,,
J'AIME FRENCH BAKERY,False,270.0,4.5,['delivery'],$$,,(267) 928-3172,,,,,,
SHAKESPEARE & CO,False,64.0,4.0,['delivery'],$$,,(215) 240-1000,,,,,,
CHESTNUT HILL COFFEE COMPANY,False,196.0,4.5,['delivery'],$$,,(215) 242-8600,,,,,,
THE MONKEY & THE ELEPHANT,False,89.0,4.5,['delivery'],$,2831 W GIRARD AVE,(267) 457-5334,19130-1214,,"MM BREWERYTOWN, ACQUISITION",Food Preparing and Serving,39.974751886776794,-75.18288711323667
FUNCTION COFFEE LABS,False,133.0,4.5,['delivery'],$,,(267) 606-6734,,,,,,
KONDITORI,False,95.0,4.0,['delivery'],$,,(215) 665-8495,,,,,,
OCF COFFEE HOUSE,False,379.0,4.0,"['delivery', 'pickup']",$,,(267) 773-8081,,,,,,
OCF COFFEE HOUSE,False,146.0,3.5,['delivery'],$$,,(215) 454-2196,,,,,,
GRAN CAFFE L'AQUILA,False,1006.0,4.5,"['delivery', 'pickup']",$$,,(215) 568-5600,,,,,,
AMALGAM COMICS & COFFEEHOUSE,False,86.0,4.5,['delivery'],$,2578 FRANKFORD AVE,(215) 427-3300,19125-1727,,2580 FRANKFORD LLC,Food Preparing and Serving,39.98516014873121,-75.12447542037249
ONE SHOT COFFEE,False,475.0,4.0,['delivery'],$$,,(215) 627-1620,,,,,,
REVOLUTION COFFEE ROASTERS,False,80.0,4.5,['delivery'],$,,(856) 240-0640,,,,,,
THE BASEMENT BOARD GAME CAFE,False,8.0,5.0,[],,,(267) 335-4767,,,,,,
OX COFFEE,False,93.0,4.5,['delivery'],$,,(215) 922-2531,,,,,,
BATTER & CRUMBS VEGAN BAKERY AND CAFE,False,48.0,5.0,['delivery'],$,,(267) 319-8852,,,,,,
ELIXR COFFEE,False,9.0,4.5,[],$$,,(239) 404-1730,,,,,,
CREME BRULEE BISTRO & CAFE,False,153.0,4.5,"['delivery', 'pickup']",$$,,(215) 334-9000,,,,,,
CREME BRULEE BISTRO & CAFE,False,5.0,5.0,[],,,(215) 922-2656,,,,,,
HIGHER GROUNDS,False,156.0,4.0,['delivery'],$,,(215) 922-3745,,,,,,
THE BAKESHOP ON 20TH,False,317.0,4.5,"['delivery', 'pickup']",$,,(215) 644-9714,,,,,,
MILKCRATE CAFE,False,223.0,4.5,['delivery'],$,,(267) 909-8348,,"Philadelphia, PA 19125",,,,
BROWN STREET COFFEE & BÁNHERY,False,136.0,4.0,"['delivery', 'pickup']",$,,(267) 239-0241,,,,,,
GREENSTREET COFFEE ROASTERY,False,9.0,5.0,['delivery'],$$,,(215) 634-9044,,,,,,
EGGCELLENT CAFE,False,73.0,4.5,"['delivery', 'pickup']",$$,,(267) 534-2753,,,,,,
RALLY,False,71.0,4.5,[],$$,,(215) 925-3657,,"Philadelphia, PA 19147",,,,
WRITER'S BLOCK REHAB,False,178.0,4.0,[],$$,,(267) 534-3134,,,,,,
STEAP AND GRIND,False,134.0,4.0,['delivery'],$,,(267) 858-4427,,"Philadelphia, PA 19125",,,,
TALULA'S DAILY,False,362.0,4.5,[],$$,,(215) 592-6555,,,,,,
KOPI LATTE,False,56.0,4.5,"['pickup', 'delivery']",$,,(267) 551-1530,,,,,,
WINKEL,False,194.0,4.5,['delivery'],$$,,(267) 639-3453,,,,,,
THE SATELLITE CAFE,False,158.0,3.5,['delivery'],$,,(215) 729-1211,,,,,,
BLACK SEED CAFE,False,22.0,4.0,[],,2400 FEDERAL ST,(215) 544-1235,19146-2432,,MCKENDRICK RICARDO L JR,Food Preparing and Serving,39.938150165305046,-75.18363183147781
GRYPHON CAFE,False,32.0,4.0,['delivery'],$$,,(215) 425-3055,,,,,,
ESSEN BAKERY,False,101.0,5.0,['delivery'],$,,(215) 271-2299,,,,,,
GREEN LINE CAFE - POWELTON VILLAGE,False,72.0,4.0,['delivery'],$,,(215) 382-2143,,,,,,
BLACK & BREW,False,265.0,4.0,"['pickup', 'delivery']",$,,(267) 639-6070,,,,,,
WHOLE AND GROUNDED CAFE,False,6.0,4.5,[],,,(856) 537-7313,,,,,,
VALERIO COFFEE ROASTERS,False,25.0,3.5,[],$,,(267) 792-3700,,,,,,
ANTHONY'S ITALIAN COFFEE HOUSE AND CHOCOLATE HOUSE,False,175.0,4.0,"['pickup', 'delivery']",$$,,(215) 627-2586,,,,,,
RYBREAD,False,429.0,4.0,"['pickup', 'delivery']",$,,(215) 769-0603,,"Philadelphia, PA 19130",,,,
THE GREEN LINE CAFE,False,195.0,3.5,['delivery'],$,,(215) 222-3431,,,,,,
RAY'S CAFÉ & TEAHOUSE,False,173.0,4.5,"['pickup', 'delivery']",$$,,(215) 922-5122,,,,,,
AVRIL 50,False,53.0,4.5,[],$$,3406 SANSOM ST,(215) 222-6108,19104-3404,,3406 SANSOM ST PARTNERS,"Food Establishment, Retail Permanent Location",39.953470706714775,-75.19251413299428
LUNA CAFÉ,False,35.0,4.0,['delivery'],$$,,(267) 703-8807,,,,,,
COFFEE & CREAM,False,52.0,4.5,"['pickup', 'delivery']",$,,(856) 494-4248,,,,,,
COMMON GROUNDS COFFEEHOUSE,False,35.0,5.0,['delivery'],$,,(856) 854-0088,,,,,,
NESPRESSO BOUTIQUE AT BLOOMINGDALES,False,4.0,5.0,[],,,(800) 562-1465,,,,,,
SAXBYS 1800,False,10.0,3.5,[],,,(267) 886-8215,,,,,,
MALELANI  CAFE,False,134.0,4.5,"['pickup', 'delivery']",$,,(267) 766-2396,,,,,,
FIVE POINTS COFFEE,False,60.0,4.5,['delivery'],$,,(484) 466-2401,,,,,,
ARTISAN BOULANGER PATISSIER,False,188.0,4.5,[],$,1646 S 12TH ST,(215) 271-4688,19148-1002,,33RD STREET GARAGE COMPAN,Food Preparing and Serving,39.92891741578496,-75.16513248947594
MAMMOTH COFFEE,False,30.0,4.0,"['pickup', 'delivery']",$,,(215) 733-0102,,"Philadelphia, PA 19123",,,,
THE PHARMACY,False,24.0,2.5,"['pickup', 'delivery']",$,,(267) 994-8666,,,,,,
DOLCE & CAFFÈ,False,99.0,4.5,"['pickup', 'delivery']",$,,(215) 627-1130,,,,,,
WALNUT STREET CAFE,False,220.0,3.5,"['pickup', 'delivery']",$$,,(215) 867-8067,,"Philadelphia, PA 19104",,,,
CAFE OLÉ,False,365.0,4.0,"['pickup', 'delivery']",$,,(215) 627-2140,,,,,,
